title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Judge Dredd,5.773,2184,1995-06-30,113493481,96,90000000,28.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Edward Scissorhands,7.716,12049,1990-12-07,53000000,105,20000000,37.283,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Open Range,7.184,945,2003-08-29,68296293,139,22000000,23.061,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hard Candy,6.822,2348,2005-01-14,7022209,103,950000,17.414,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hannah Montana: The Movie,6.603,1907,2009-04-10,155545279,102,35000000,18.833,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Christmas Switch 2022,10.0,1,2022-12-23,10,76,740,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Naked,4.063,17,2000-12-15,24,94,25,2.654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Bullets,5.088,91,2022-04-14,193908,96,3000000,25.474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Smokin' Aces,6.474,1490,2006-12-09,57103895,109,17000000,15.32,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legend of Kung Fu Rabbit,3.5,10,2011-07-11,3699225,89,19000000,6.197,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ice Station Zebra,6.179,145,1968-10-23,4600000,148,8000000,15.38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22 Female Kottayam,7.4,28,2012-04-13,500000,122,400000,2.688,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Wolf,6.1,817,1994-06-17,131002597,125,70000000,17.904,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
Mountains of the Moon,5.6,16,2013-12-20,3100000,149,2300000,3.122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ad Astra,6.1,6143,2019-09-17,127461872,123,87500000,11.084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Red Eye,6.382,1777,2005-08-19,57891803,85,26000000,24.096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Ballad of Sheep 13,10.0,1,2004-08-16,905,2,905,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Yellow Handkerchief,6.2,130,2009-11-19,317000,102,15000000,8.065,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bad Ben: The Mandela Effect,4.3,7,2018-06-18,110000,67,300,1.317,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Affair of the Necklace,5.519,78,2001-11-30,1198113,118,30000000,9.403,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Grindhouse,6.981,1519,2007-04-06,25422088,191,67000000,12.037,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Outside the Law,6.632,184,2010-09-21,3470487,137,30000000,5.003,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
To Die,10.0,1,2020-06-08,1100,0,500,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Say Uncle,5.429,14,2006-06-23,5361,91,650000,3.088,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baggage Claim,5.309,181,2013-09-27,22456509,96,8500000,11.75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Inhale,5.968,108,2010-08-27,55089,100,10000000,7.962,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
A Haunted House,5.871,1706,2013-01-11,60141683,86,2500000,33.048,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bülbül Yuvası,8.0,1,1961-01-03,105000,0,55000,0.63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Stalingrad,6.53,312,2013-10-09,68129518,131,30000000,0.681,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dead & Buried,6.407,244,1981-05-29,216166,94,3000000,10.09,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I Feel Pretty,6.41,1936,2018-04-19,94539426,110,32000000,26.655,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001: A Space Odyssey,8.076,10575,1968-04-02,71923560,149,12000000,48.932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Highlander,6.886,2348,1986-03-07,12885193,116,16000000,38.696,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mummies,7.193,373,2023-01-05,34200000,88,12300000,71.229,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Auto Focus,6.41,167,2002-10-18,2062066,104,7000000,10.532,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghosts of the Abyss,6.851,174,2003-04-10,17040871,61,13000000,12.803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sniper,5.857,63,2009-03-24,329945,90,30000000,10.738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maze Runner: The Scorch Trials,6.7,9669,2015-09-09,312296056,131,61000000,42.487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Elephant Tales,5.5,1,2006-10-24,33,92,7,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tom, Dick and Harry",5.1,14,1941-06-13,1628000,87,806000,3.461,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Bones and All,7.135,1019,2022-11-18,14134907,131,18000000,22.262,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Beethoven's 2nd,5.5,898,1993-12-14,118243066,89,15000000,16.944,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thank You for Your Service,6.512,326,2017-10-26,9438370,109,20000000,13.722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
